U6244;ass=GCA_000018105.1;sp=Acaryochloris_marina;
U2010;ass=GCA_001766235.1;sp=Acetobacter_pasteurianus;
U170;ass=GCA_000010905.1;sp=Acetobacter_pasteurianus;
U170;ass=GCA_000010885.1;sp=Acetobacter_pasteurianus;
U170;ass=GCA_000010945.1;sp=Acetobacter_pasteurianus;
U1702;ass=GCA_001183745.1;sp=Acetobacter_pasteurianus;
U170;ass=GCA_000010925.1;sp=Acetobacter_pasteurianus;
U170;ass=GCA_000241585.3;sp=Acetobacter_pasteurianus;
U170;ass=GCA_000010825.1;sp=Acetobacter_pasteurianus;
U170;ass=GCA_000010845.1;sp=Acetobacter_pasteurianus;
U170;ass=GCA_000010865.1;sp=Acetobacter_pasteurianus;
U170;ass=GCA_000010965.1;sp=Acetobacter_pasteurianus;
U1708;ass=GCA_001766255.1;sp=Acetobacter_pasteurianus;
U170;ass=GCA_000723785.1;sp=Acetobacter_pasteurianus;
U21792;ass=GCA_000723785.1;sp=Acetobacter_pasteurianus;
U2101;ass=GCA_001499615.1;sp=Acetobacter_senegalensis;
U1689;ass=GCA_001628715.1;sp=Acetobacter_sp_SLV-7;
U21938;ass=GCA_000247605.1;sp=Acetobacterium_woodii;
U11385;ass=GCA_000247605.1;sp=Acetobacterium_woodii;
U13050;ass=GCA_000247605.1;sp=Acetobacterium_woodii;
U11390;ass=GCA_000247605.1;sp=Acetobacterium_woodii;
U13053;ass=GCA_000247605.1;sp=Acetobacterium_woodii;
U2772;ass=GCA_000144695.1;sp=Acetohalobium_arabaticum;
U11529;ass=GCA_000144695.1;sp=Acetohalobium_arabaticum;
U7863;ass=GCA_000266925.1;sp=Acetomicrobium_mobile;
U5844;ass=GCA_000967915.1;sp=Acholeplasma_brassicae;
U15849;ass=GCA_000967915.1;sp=Acholeplasma_brassicae;
U21630;ass=GCA_000967915.1;sp=Acholeplasma_brassicae;
U5170;ass=GCA_000018785.1;sp=Acholeplasma_laidlawii;
U20337;ass=GCA_000953195.1;sp=Acholeplasma_oculi;
U20342;ass=GCA_000953195.1;sp=Acholeplasma_oculi;
U7700;ass=GCA_000968055.1;sp=Acholeplasma_palmae;
U2529;ass=GCA_001514355.1;sp=Achromobacter_denitrificans;
U21733;ass=GCA_000758265.1;sp=Achromobacter_xylosoxidans;
U17331;ass=GCA_000758265.1;sp=Achromobacter_xylosoxidans;
U11859;ass=GCA_000758265.1;sp=Achromobacter_xylosoxidans;
U8363;ass=GCA_000508285.1;sp=Achromobacter_xylosoxidans;
U2712;ass=GCA_000508285.1;sp=Achromobacter_xylosoxidans;
U14293;ass=GCA_000508285.1;sp=Achromobacter_xylosoxidans;
U2529;ass=GCA_001558915.1;sp=Achromobacter_xylosoxidans;
U15648;ass=GCA_001558915.1;sp=Achromobacter_xylosoxidans;
U11109;ass=GCA_001558915.1;sp=Achromobacter_xylosoxidans;
U4108;ass=GCA_000165835.1;sp=Achromobacter_xylosoxidans;
U20095;ass=GCA_001558755.1;sp=Achromobacter_xylosoxidans;
U15660;ass=GCA_001558755.1;sp=Achromobacter_xylosoxidans;
U15659;ass=GCA_001558755.1;sp=Achromobacter_xylosoxidans;
U4157;ass=GCA_001051055.1;sp=Achromobacter_xylosoxidans;
U2712;ass=GCA_001457475.1;sp=Achromobacter_xylosoxidans;
U17083;ass=GCA_001559195.1;sp=Achromobacter_xylosoxidans;
U12857;ass=GCA_001559195.1;sp=Achromobacter_xylosoxidans;
U13158;ass=GCA_001559195.1;sp=Achromobacter_xylosoxidans;
U22753;ass=GCA_000025305.1;sp=Acidaminococcus_fermentans;
U5566;ass=GCA_000025305.1;sp=Acidaminococcus_fermentans;
U7018;ass=GCA_000025305.1;sp=Acidaminococcus_fermentans;
U8367;ass=GCA_000025305.1;sp=Acidaminococcus_fermentans;
U5837;ass=GCA_000230275.1;sp=Acidaminococcus_intestini;
U21332;ass=GCA_000230275.1;sp=Acidaminococcus_intestini;
U16777;ass=GCA_000213215.1;sp=Acidianus_hospitalis;
U12768;ass=GCA_001753245.1;sp=Acidihalobacter_prosperus;
U13770;ass=GCA_000144915.1;sp=Acidilobus_saccharovorans;
U5206;ass=GCA_000023265.1;sp=Acidimicrobium_ferrooxidans;
U2972;ass=GCA_000016725.1;sp=Acidiphilium_cryptum;
U2972;ass=GCA_000202835.1;sp=Acidiphilium_multivorum;
U9322;ass=GCA_000202835.1;sp=Acidiphilium_multivorum;
U1521;ass=GCA_001441165.1;sp=Acidipropionibacterium_acidipropionici;
U1489;ass=GCA_001441165.1;sp=Acidipropionibacterium_acidipropionici;
U17738;ass=GCA_001441165.1;sp=Acidipropionibacterium_acidipropionici;
U2802;ass=GCA_001602115.1;sp=Acidipropionibacterium_acidipropionici;
U1489;ass=GCA_001602115.1;sp=Acidipropionibacterium_acidipropionici;
U1521;ass=GCA_000310065.1;sp=Acidipropionibacterium_acidipropionici;
U2802;ass=GCA_001855335.1;sp=Acidipropionibacterium_acidipropionici;
U1489;ass=GCA_001855335.1;sp=Acidipropionibacterium_acidipropionici;
U4901;ass=GCA_000221025.1;sp=Acidithiobacillus_caldus;
U5852;ass=GCA_000175575.2;sp=Acidithiobacillus_caldus;
U7712;ass=GCA_000214095.3;sp=Acidithiobacillus_ferrivorans;
U2361;ass=GCA_000020825.1;sp=Acidithiobacillus_ferrooxidans;
U2361;ass=GCA_000021485.1;sp=Acidithiobacillus_ferrooxidans;
U17087;ass=GCA_001618865.1;sp=Acidobacteria_bacterium_DSM_100886;
U14373;ass=GCA_000022565.1;sp=Acidobacterium_capsulatum;
U8903;ass=GCA_000015025.1;sp=Acidothermus_cellulolyticus;
U4780;ass=GCA_000176855.2;sp=Acidovorax_avenae;
U18230;ass=GCA_000176855.2;sp=Acidovorax_avenae;
U3900;ass=GCA_000015325.1;sp=Acidovorax_citrulli;
U1531;ass=GCA_000022305.1;sp=Acidovorax_ebreus;
U1531;ass=GCA_000015545.1;sp=Acidovorax_sp_JS42;
U3401;ass=GCA_000302535.1;sp=Acidovorax_sp_KKS102;
U3934;ass=GCA_001714725.1;sp=Acidovorax_sp_RAC01;
U18887;ass=GCA_000025665.1;sp=Aciduliprofundum_boonei;
U11456;ass=GCA_000327505.1;sp=Aciduliprofundum_sp_MAR08-339;
U43;ass=GCA_000188215.1;sp=Acinetobacter_baumannii;
U1183;ass=GCA_000188215.1;sp=Acinetobacter_baumannii;
U112;ass=GCA_000188215.1;sp=Acinetobacter_baumannii;
U43;ass=GCA_000761175.1;sp=Acinetobacter_baumannii;
U112;ass=GCA_000761175.1;sp=Acinetobacter_baumannii;
U43;ass=GCA_001806465.1;sp=Acinetobacter_baumannii;
U43;ass=GCA_001806445.1;sp=Acinetobacter_baumannii;
U1736;ass=GCA_001806445.1;sp=Acinetobacter_baumannii;
U43;ass=GCA_001895985.1;sp=Acinetobacter_baumannii;
U1736;ass=GCA_001895985.1;sp=Acinetobacter_baumannii;
U3928;ass=GCA_000419425.1;sp=Acinetobacter_baumannii;
U3493;ass=GCA_000419425.1;sp=Acinetobacter_baumannii;
U112;ass=GCA_000830055.1;sp=Acinetobacter_baumannii;
U43;ass=GCA_000939415.2;sp=Acinetobacter_baumannii;
U12510;ass=GCA_000939415.2;sp=Acinetobacter_baumannii;
U1736;ass=GCA_000939415.2;sp=Acinetobacter_baumannii;
U43;ass=GCA_001908295.1;sp=Acinetobacter_baumannii;
U112;ass=GCA_001908295.1;sp=Acinetobacter_baumannii;
U112;ass=GCA_000963815.1;sp=Acinetobacter_baumannii;
U13663;ass=GCA_000021145.1;sp=Acinetobacter_baumannii;
U112;ass=GCA_000021145.1;sp=Acinetobacter_baumannii;
U43;ass=GCA_001636235.1;sp=Acinetobacter_baumannii;
U112;ass=GCA_001636235.1;sp=Acinetobacter_baumannii;
U43;ass=GCA_000828935.1;sp=Acinetobacter_baumannii;
U509;ass=GCA_000828935.1;sp=Acinetobacter_baumannii;
U43;ass=GCA_000498375.2;sp=Acinetobacter_baumannii;
U1183;ass=GCA_000498375.2;sp=Acinetobacter_baumannii;
U112;ass=GCA_000498375.2;sp=Acinetobacter_baumannii;
U43;ass=GCA_001806405.1;sp=Acinetobacter_baumannii;
U112;ass=GCA_001261895.2;sp=Acinetobacter_baumannii;
U1183;ass=GCA_000814345.1;sp=Acinetobacter_baumannii;
U112;ass=GCA_000814345.1;sp=Acinetobacter_baumannii;
U43;ass=GCA_001887305.1;sp=Acinetobacter_baumannii;
U43;ass=GCA_001026965.1;sp=Acinetobacter_baumannii;
U112;ass=GCA_000069245.1;sp=Acinetobacter_baumannii;
U43;ass=GCA_001077655.1;sp=Acinetobacter_baumannii;
U112;ass=GCA_001077655.1;sp=Acinetobacter_baumannii;
U509;ass=GCA_001077655.1;sp=Acinetobacter_baumannii;
U43;ass=GCA_900088705.1;sp=Acinetobacter_baumannii;
U22161;ass=GCA_900088705.1;sp=Acinetobacter_baumannii;
U43;ass=GCA_001573105.1;sp=Acinetobacter_baumannii;
U6755;ass=GCA_001573105.1;sp=Acinetobacter_baumannii;
U112;ass=GCA_001573105.1;sp=Acinetobacter_baumannii;
U685;ass=GCA_001517645.1;sp=Acinetobacter_baumannii;
U43;ass=GCA_000189735.2;sp=Acinetobacter_baumannii;
U43;ass=GCA_000419385.1;sp=Acinetobacter_baumannii;
U12951;ass=GCA_000505685.2;sp=Acinetobacter_baumannii;
U112;ass=GCA_000505685.2;sp=Acinetobacter_baumannii;
U43;ass=GCA_001543995.1;sp=Acinetobacter_baumannii;
U2937;ass=GCA_001543995.1;sp=Acinetobacter_baumannii;
U43;ass=GCA_000828795.1;sp=Acinetobacter_baumannii;
U112;ass=GCA_000828795.1;sp=Acinetobacter_baumannii;
U43;ass=GCA_001806365.1;sp=Acinetobacter_baumannii;
U43;ass=GCA_001593425.2;sp=Acinetobacter_baumannii;
U43;ass=GCA_000695855.3;sp=Acinetobacter_baumannii;
U43;ass=GCA_001806425.1;sp=Acinetobacter_baumannii;
U10881;ass=GCA_001806425.1;sp=Acinetobacter_baumannii;
U10884;ass=GCA_001806425.1;sp=Acinetobacter_baumannii;
U13229;ass=GCA_001806425.1;sp=Acinetobacter_baumannii;
U1736;ass=GCA_001806425.1;sp=Acinetobacter_baumannii;
U22229;ass=GCA_001399655.1;sp=Acinetobacter_baumannii;
U112;ass=GCA_001399655.1;sp=Acinetobacter_baumannii;
U43;ass=GCA_000307975.2;sp=Acinetobacter_baumannii;
U43;ass=GCA_000302575.1;sp=Acinetobacter_baumannii;
U43;ass=GCA_001806385.1;sp=Acinetobacter_baumannii;
U3155;ass=GCA_001806385.1;sp=Acinetobacter_baumannii;
